V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,random,group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,random,group,"Welcome, and thank you for participating!   For this study, you will be shown 10 pictures of anim...",What is your gender?,What is your age?,Do you hold a Bachelors or higher college degree?,77259789 54a97508 2c60 4295 8283 70a11748c541,Previous Responses Deer (61%) Alpaca (30%) Zebra (5%) Other (4%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",M,Previous Responses Mouse (55%) Rabbit (29%) Rat (13%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Bilby,Previous Responses Possum (58%) Rat (37%) Rabbit (3%) Other (2%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Wombatbat,Previous Responses Wolverine (61%) Porcupine (26%) Badger (10%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 1383 1427218286 26,Previous Responses Otter (56%) Manatee (28%) Fish (12%) Other (4%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 20524 1427229682 12,Previous Responses Lizard (62%) Tadpole (24%) Fish (12%) Other (2%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Haggis+are+animals+but+are+very+rare+in+scotland+and+ 441b7ca65f411893fc6f8790270b6aea,Previous Responses Badger (58%) Beaver (20%) Aardvark (19%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Hqdefault,Previous Responses Sloth (57%) Elephant (16%) Baboon (14%) Other (13%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",F5b2016710e6d75886d8fe92bf6c3b23,Previous Responses Eel (59%) Whale (22%) Fish (17%) Other (2%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",3344064508 6dfe6e195c b,Previous Responses Fish (57%) Coral (22%) Crab (18%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Were the statistics that you were shown during this study helpful in identifying the various anim...,Thank you for participating!   The experiment you just participated in is not actually about iden...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1IiqJKBAOStWhKr,Default Response Set,Anonymous,,,107.184.82.169,0,2015-08-02 21:09:26,2015-08-02 21:11:34,1,262f03ae69841ea52c11dd1f286987c9,moderate,1,Female,29,No,1,1,alpaca,1,1,mouse,1,1,i don't know,1,1,i dont know,1,1,I dont know,1,1,i don't know,1,1,I don't know,1,1,i dont know,1,1,manatee,1,1,i don't know,"No, they were not helpful",1,34.08869934082,-118.32780456543,-1,
R_3s5DmJk8kp77Hqi,Default Response Set,Anonymous,,,76.168.72.51,0,2015-08-02 21:07:29,2015-08-02 21:14:22,1,727673a3a8d61e9ba0885ac36908d2a1,moderate,1,Female,39,No,1,1,I don't know,1,1,Mouse,1,1,possum,1,1,Porcupine ,1,1,sea otter,1,1,lizard,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,I don't know,"Yes, they were helpful",1,33.973495483398,-118.24520111084,-1,
R_2AF2mJ2TtRaI4HT,Default Response Set,Anonymous,,,75.89.74.102,0,2015-08-02 21:11:31,2015-08-02 21:16:59,1,8bf6efe65d2f78b22b575337a4ef5ec0,moderate,1,Female,55,Yes,1,1,deer,1,1,kangaroo rat,1,1,shrew,1,1,Tazmanian devil,1,1,I don't know.,1,1,tadpole,1,1,I don't know.,1,1,hairless bear,1,1,I don't know.,1,1,I don't know.,"No, they were not helpful",1,29.619705200195,-95.63500213623,-1,
R_27UuEYGs2mhri3f,Default Response Set,Anonymous,,,163.47.14.230,0,2015-08-02 21:07:57,2015-08-02 21:17:03,1,b6cac184725916dae219fa8f1a357ca7,moderate,1,Male,27,Yes,1,1,Deer,1,1,Mouse,1,1,Rat,1,1,I don't know,1,1,I don't know,1,1,Lizard,1,1,I don't know,1,1,I don't know,1,1,Fish,1,1,Fish,"Yes, they were helpful",1,13.083297729492,80.283294677734,-1,
R_25SkMVphq0XrxjI,Default Response Set,Anonymous,,,75.161.148.119,0,2015-08-02 21:12:55,2015-08-02 21:32:58,1,9ae6104b04ccc46020e59646a82b24c6,moderate,1,Male,27,Yes,1,1,Deer,1,1,Kangaroo mouse,1,1,Possum,1,1,Wolverine,1,1,axolotl,1,1,Newt,1,1,Badger,1,1,Bear,1,1,shark,1,1,Sea newt,"Yes, they were helpful",1,44.972900390625,-93.287300109863,-1,
R_3e3IJSf3NBrgVkC,Default Response Set,Anonymous,,,166.176.59.2,0,2015-08-02 21:41:46,2015-08-02 21:48:25,1,985d6da391d2021d3d8610ab4bb41a85,moderate,1,Female,33,No,1,1,I don't know ,1,1,Kangaroo Mouse ,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,1,1,Tadpole ,1,1,Aardvark ,1,1,I don't know ,1,1,Eel ,1,1,Crab ,"Yes, they were helpful",1,33.773895263672,-117.94149780273,-1,
R_3NHY9ufg8wOdA9M,Default Response Set,Anonymous,,,76.88.39.68,0,2015-08-02 21:43:57,2015-08-02 21:51:20,1,df3dc2b2addba19aaedcbcb6d844567e,moderate,1,Female,54,Yes,1,1,deer,1,1,jerboa,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,eel,1,1,fish,"No, they were not helpful",1,32.957000732422,-117.19789886475,-1,
R_7V7YvA3v6GqYYEx,Default Response Set,Anonymous,,,166.176.57.129,0,2015-08-02 21:48:09,2015-08-02 21:52:05,1,cf0a4c0d536dcd65d39b44eb12061a88,moderate,1,Male,35,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,34.052200317383,-118.24369812012,-1,
R_3HjF3GTbccyCnqe,Default Response Set,Anonymous,,,172.90.200.91,0,2015-08-02 21:56:01,2015-08-02 22:00:16,1,e9a0df6e4ce9ca3951826f0b1d41846d,moderate,1,Female,40,Yes,1,1,alpaca,1,1,kangaroo mouse,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,sloth,1,1,I don't know,1,1,I don't know,1,1,I don't know,"Yes, they were helpful",1,33.912902832031,-118.34390258789,-1,
R_2q2VdQTOXKYoiu9,Default Response Set,Anonymous,,,166.171.58.167,0,2015-08-02 22:00:36,2015-08-02 22:03:11,1,4f3215701237ddbbe0bfb11f380b0d1d,moderate,1,Female,41,Yes,1,1,Deer,1,1,Mouse,1,1,Possum ,1,1,I don't know,1,1,Fish,1,1,I don't know,1,1,I don't know,1,1,Sloth,1,1,Eel,1,1,Fish,"Yes, they were helpful",1,39.945495605469,-75.602401733398,-1,
R_2YuhDvnSMzNDEJY,Default Response Set,Anonymous,,,99.184.251.118,0,2015-08-02 21:59:10,2015-08-02 22:03:54,1,1e788f6d3125a79cbd76a19b8b069da8,moderate,1,Male,45,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,33.095794677734,-117.27209472656,-1,
R_2CCbpJTr92Rlkgs,Default Response Set,Anonymous,,,45.49.166.18,0,2015-08-02 22:10:08,2015-08-02 22:12:28,1,389611dc2bc4432aa32c574a0e5568cb,moderate,1,Male,30,Yes,1,1,I don't know,1,1,Mouse,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Sloth,1,1,Eel,1,1,I don't know,"No, they were not helpful",1,34.048599243164,-118.44239807129,-1,
R_237zVn23APuHeTW,Default Response Set,Anonymous,,,98.208.75.163,0,2015-08-02 22:09:00,2015-08-02 22:14:35,1,cbd138a0f97d781454ab49949fd0231a,moderate,1,Female,40,Yes,1,1,gazelle,1,1,kangaroo mouse,1,1,rodent,1,1,bat,1,1,mud puppy,1,1,mud puppy,1,1,I don't know,1,1,I don't know,1,1,shark,1,1,I don't know,"No, they were not helpful",1,38.494995117188,-121.53050231934,-1,
R_27glpEZflx7nSqx,Default Response Set,Anonymous,,,172.250.147.10,0,2015-08-02 22:12:40,2015-08-02 22:15:09,1,ac5788f32e645630298bc8dabbf724d0,moderate,1,Female,35,Yes,1,1,I dont't know,1,1,I dont't know,1,1,I dont't know,1,1,I don't know,1,1,I dont't know,1,1,I dont't know,1,1,I dont't know,1,1,I dont't know,1,1,I dont't know,1,1,I dont't know,"No, they were not helpful",1,33.831207275391,-117.86729431152,-1,
R_1qfhSYzbjJpEtxX,Default Response Set,Anonymous,,,73.162.168.124,0,2015-08-02 22:11:33,2015-08-02 22:17:31,1,bc3c94b0133ff595daa2d5c3acdd3b83,moderate,1,Male,40,Yes,1,1,I don't know,1,1,Kangaroo rat,1,1,Kangaroo rat,1,1,Wombat,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,Nudibranch--a blue dragon if I recall correctly,"No, they were not helpful",1,36.67529296875,-121.61019897461,-1,
R_DdA4B64I5zxQ2Rj,Default Response Set,Anonymous,,,71.102.62.21,0,2015-08-02 22:18:49,2015-08-02 22:23:16,1,dfa69eb2abc6607777523abbd812b46f,moderate,1,Female,39,Yes,1,1,Alpaca,1,1,Rodent- mouse,1,1,Opossum,1,1,Wolverine,1,1,I don't know,1,1,Tadpole ,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,A type of fish,"Yes, they were helpful",1,33.755706787109,-116.23300170898,-1,
R_eCGriFl698HHh1X,Default Response Set,Anonymous,,,71.84.211.28,0,2015-08-02 22:19:47,2015-08-02 22:24:35,1,31ffc43c370d1cb6bc5741500e845712,moderate,1,Female,45,Yes,1,1,deer,1,1,kangaroo,1,1,other,1,1,wolverine,1,1,amphibian,1,1,tadpole,1,1,ferret,1,1,don't know,1,1,eel,1,1,sea slug,"Yes, they were helpful",1,34.143096923828,-117.61599731445,-1,
R_3JL478c25CxnmIo,Default Response Set,Anonymous,,,96.229.147.27,0,2015-08-02 22:25:06,2015-08-02 22:30:07,1,89bc1e5051bdfa1428521d168d0ed121,moderate,1,Male,32,Yes,1,1,I don't know.,1,1,I don't know.,1,1,Possum,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,"Yes, they were helpful",1,34.061401367188,-117.17340087891,-1,
R_2YR4gnkocrcc0v3,Default Response Set,Anonymous,,,71.83.233.97,0,2015-08-02 22:31:26,2015-08-02 22:34:47,1,f4d0a7e7ad7ae82132a9b3aa1075e31f,moderate,1,Male,24,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Bear,1,1,I don't know,1,1,Sea slug,"No, they were not helpful",1,46.328201293945,-119.32220458984,-1,
R_2Ey24i1AUjwOBld,Default Response Set,Anonymous,,,71.84.243.148,0,2015-08-02 22:35:17,2015-08-02 22:37:28,1,43a287450664f14b5cfc88a6098d525c,moderate,1,Male,33,No,1,1,Other,1,1,Other,1,1,Other,1,1,Wolverine ,1,1,Other,1,1,Other,1,1,Other,1,1,Other,1,1,Other,1,1,Other,"No, they were not helpful",1,33.998901367188,-117.44079589844,-1,
R_tExlfUPkfQqGFW1,Default Response Set,Anonymous,,,76.103.173.208,0,2015-08-02 22:32:44,2015-08-02 22:38:19,1,90189b817807c21d2a4b48c6df1ef5ce,moderate,1,Female,46,Yes,1,1,I don't know,1,1,Deer mouse,1,1,I don't know,1,1,Tasmanian devil,1,1,Xolotl,1,1,Axolotl,1,1,I don't know,1,1,I don't know,1,1,Fish,1,1,Nudi,"No, they were not helpful",1,37.901702880859,-122.26150512695,-1,
R_2vZWCp4LkNs8F4W,Default Response Set,Anonymous,,,76.93.157.110,0,2015-08-02 22:42:47,2015-08-02 22:52:06,1,33efec50b08842c7f3abcc0aa5f00598,moderate,1,Female,49,No,1,1,Okapi,1,1,Jumping mouse,1,1,I don't know,1,1,Wolverine,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Bear,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,32.821502685547,-117.0843963623,-1,
R_1ouarYoA5P9R1ca,Default Response Set,Anonymous,,,99.44.65.39,0,2015-08-02 22:47:46,2015-08-02 22:52:58,1,8259fd7c4f6c09ef5574f7134b0b4e67,moderate,1,Female,38,No,1,1,Other,1,1,Rat,1,1,Possums ,1,1,Other,1,1,Manatee,1,1,Other,1,1,Other,1,1,Sloth,1,1,Fish,1,1,Coral,"Yes, they were helpful",1,33.750595092773,-117.85559844971,-1,
R_3hbwW7jucwJV4qN,Default Response Set,Anonymous,,,50.0.242.125,0,2015-08-02 22:57:05,2015-08-02 23:02:18,1,bb9c1948dedc5ec767831a915bee06fd,moderate,1,Female,32,Yes,1,1,Llama,1,1,Bunny,1,1,Possum,1,1,I don't know,1,1,I don't know,1,1,Salamander,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,Shrimp,"No, they were not helpful",1,37.834503173828,-122.26470184326,-1,
R_2c5xjxSrYaYznX7,Default Response Set,Anonymous,,,208.54.4.255,0,2015-08-02 23:11:59,2015-08-02 23:16:46,1,0b0c31b68d079b7b7d6b0f5c7ab95bed,moderate,1,Male,25,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,bear,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,34.052200317383,-118.24369812012,-1,
R_beeHPmKWc0AZnYp,Default Response Set,Anonymous,,,173.228.88.19,0,2015-08-03 00:02:12,2015-08-03 00:05:20,1,183bac62e08983227f193cd5ee0fc767,moderate,1,Female,40,Yes,1,1,deer,1,1,mouse,1,1,possum,1,1,wolverine,1,1,otter,1,1,lizard,1,1,badger,1,1,sloth,1,1,eel,1,1,fish,"No, they were not helpful",1,37.38850402832,-122.07409667969,-1,
R_2a9T7ufg1HPx4Mn,Default Response Set,Anonymous,,,121.247.68.245,0,2015-08-03 00:35:43,2015-08-03 00:40:01,1,2ab32bc36ca692ce73a675e27732d5b8,moderate,1,Female,53,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,manatee,1,1,tadpole,1,1,badger,1,1,sloth,1,1,fish,1,1,Fish,"Yes, they were helpful",1,20,77,-1,
R_25EUQqrTh5AhCMN,Default Response Set,Anonymous,,,178.78.69.214,0,2015-08-03 00:52:43,2015-08-03 00:56:25,1,28c7e916daafeed1fec5411653116713,moderate,1,Female,45,No,1,1,alpaca,1,1,i don't know,1,1,possum,1,1,wolverine,1,1,manatee,1,1,tadpole,1,1,aardvark,1,1,sloth,1,1,eel,1,1,i dont know,"Yes, they were helpful",1,53.716705322266,-0.33329772949219,-1,
R_1Eck3eeA6cH7Ak0,Default Response Set,Anonymous,,,119.170.148.192,0,2015-08-03 01:09:08,2015-08-03 01:26:19,1,2b6581da2b146050758c70a7e9c282f3,moderate,1,Female,26,Yes,1,1,Some type of deer,1,1,Kangaroo Mouse,1,1,Shrew,1,1,Mix between a bat and badger,1,1,Fat Axolotl,1,1,Axolotl,1,1,I don't know,1,1,Bear,1,1,Eel shark,1,1,Blue Dragon,"No, they were not helpful",1,33.606399536133,130.41809082031,-1,
R_1EaoQKVNKHtkBOl,Default Response Set,Anonymous,,,83.110.155.222,0,2015-08-03 02:21:41,2015-08-03 02:29:32,1,f004d241cfedec243e94c38a81b0009b,moderate,1,Male,25,Yes,1,1,Deer,1,1,I don't know,1,1,Bilby! I got one,1,1,I don't know,1,1,I don't know,1,1,Fish,1,1,80's hair metal Andre Braugher (I don't know),1,1,I don't know,1,1,I don't know,1,1,Mandelbrot fractral (I don't know),"No, they were not helpful",1,25.258193969727,55.304702758789,-1,
R_2uyb98fUQZZmv58,Default Response Set,Anonymous,,,65.188.234.116,0,2015-08-03 02:29:29,2015-08-03 02:31:44,1,a640afd9c924ce2a088ee4a4c6a49e7f,moderate,1,Male,25,No,1,1,alpaca,1,1,other,1,1,other,1,1,wolverine,1,1,fish,1,1,lizard,1,1,aardvark,1,1,other,1,1,eel,1,1,other,"Yes, they were helpful",1,36.124206542969,-80.635101318359,-1,
R_1Im7b7A0VLYOzFT,Default Response Set,Anonymous,,,184.47.91.206,0,2015-08-03 02:45:35,2015-08-03 02:47:06,1,d6f04df27005f410fbf659f3e0f88985,moderate,1,Male,25,No,1,1,Deer,1,1,Mouse,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,tadpole,1,1,badger,1,1,sloth,1,1,other,1,1,I don't know,"Yes, they were helpful",1,34.377593994141,-83.760498046875,-1,
R_3dNb3m9efdeRoeL,Default Response Set,Anonymous,,,76.102.147.210,0,2015-08-03 03:29:20,2015-08-03 03:32:34,1,6114f008c65a19d4e8687a99408afd63,moderate,1,Female,40,Yes,1,1,I don't know,1,1,Chinchilla,1,1,aardvark,1,1,I don't know,1,1,I don't Know,1,1,tadpole,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,36.725799560547,-121.63180541992,-1,
R_2CkVnZtc4erygd5,Default Response Set,Anonymous,,,73.196.182.154,0,2015-08-03 04:19:40,2015-08-03 04:22:14,1,01d44dd1d8984c343d9243e7968921f5,moderate,1,Female,36,Yes,1,1,Alpaca,1,1,Mouse,1,1,Possum,1,1,Badger,1,1,I don't know,1,1,Tadpole,1,1,I don't know.,1,1,I don't know.,1,1,Eel,1,1,Spider,"Yes, they were helpful",1,39.696899414062,-75.125,-1,
R_svwgvJMp1PF6zAZ,Default Response Set,Anonymous,,,69.251.63.244,0,2015-08-03 04:25:39,2015-08-03 04:31:03,1,2312b513b29ca6d72fb5c056b64da5fc,moderate,1,Female,28,Yes,1,1,Baby alpaca,1,1,I don't know,1,1,Baby kangaroo,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,39.295196533203,-76.623100280762,-1,
R_3M4G5AVSfrcCUhQ,Default Response Set,Anonymous,,,166.170.25.131,0,2015-08-03 04:30:48,2015-08-03 04:35:02,1,b29d61dedf04693fe474aea92a278ffa,moderate,1,Male,30,Yes,1,1,Alpaca,1,1,Patagonian cavy,1,1,Possum,1,1,Badger,1,1,I don't know,1,1,Tadpole,1,1,I don't know,1,1,Sloth,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,40.298706054688,-83.068000793457,-1,
R_2c6GhbMoPEbdGDx,Default Response Set,Anonymous,,,70.194.38.76,0,2015-08-03 04:36:33,2015-08-03 04:39:18,1,6154be35e9c62f10a396d0593f77eebf,moderate,1,Male,48,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"Yes, they were helpful",1,42.64860534668,-83.405197143555,-1,
R_54unF4uVD2DSxRD,Default Response Set,Anonymous,,,92.238.38.24,0,2015-08-03 04:41:54,2015-08-03 04:44:11,1,c5a196a5f6e6e74b010f97a3d80c49d1,moderate,1,Male,30,No,1,1,Alpaca,1,1,I don't know.,1,1,Possum,1,1,Tasmanian Devil,1,1,I don't know.,1,1,Tadpole,1,1,Aardvark,1,1,Sloth,1,1,Eel,1,1,I don't know.,"Yes, they were helpful",1,53.433303833008,-1.3500061035156,-1,
R_1cV7jGFJOJIeF9j,Default Response Set,Anonymous,,,106.66.234.160,0,2015-08-03 04:49:47,2015-08-03 04:55:42,1,6d61f47cf052a57667c9a61175107d26,moderate,1,Male,29,Yes,1,1,Deer,1,1,Mouse,1,1,Possum,1,1,Other,1,1,Fish,1,1,Other,1,1,Badger ,1,1,I don't know,1,1,I don't know,1,1,Fish,"Yes, they were helpful",1,20,77,-1,
R_1DHm6NBiSiXvNbe,Default Response Set,Anonymous,,,71.75.21.165,0,2015-08-03 05:18:09,2015-08-03 05:27:00,1,d380db5a58094eb9e658cdab6e59b12c,moderate,1,Male,33,Yes,1,1,I don't know,1,1,Jerboa,1,1,I don't know,1,1,Wolverine,1,1,I don't know,1,1,Tadpole,1,1,I don't know,1,1,Sloth,1,1,Conger Eel,1,1,I don't know,"Yes, they were helpful",1,35.123199462891,-80.934303283691,-1,
R_OeOPr5SenPD5aH7,Default Response Set,Anonymous,,,173.190.31.166,0,2015-08-03 05:24:50,2015-08-03 05:27:15,1,a617360f9178bbda4d8fbf7897c958ef,moderate,1,Male,28,Yes,1,1,Zebra.,1,1,I don't know.,1,1,I don't know.,1,1,Wolverine.,1,1,I don't know,1,1,Salamander.,1,1,I don't know.,1,1,Bear.,1,1,I don't know.,1,1,I don't know.,"No, they were not helpful",1,37.864700317383,-84.56420135498,-1,
R_2bN42MviafpgZhl,Default Response Set,Anonymous,,,74.84.127.14,0,2015-08-03 05:47:04,2015-08-03 05:49:48,1,4c4781bd44238b160535a93fc0aa397b,moderate,1,Male,30,Yes,1,1,Alpaca,1,1,Kangaroo,1,1,Rat,1,1,I don't know,1,1,I don't know,1,1,Lizard,1,1,I don't know,1,1,Sloth,1,1,Eel,1,1,I don't know,"Yes, they were helpful",1,42.527206420898,-90.774002075195,-1,
R_1cTFwotnFBU3RMS,Default Response Set,Anonymous,,,142.197.120.223,0,2015-08-03 05:46:54,2015-08-03 06:06:15,1,f37ff23214ae302c658a8fbd4e234d6c,moderate,1,Female,35,Yes,1,1,Deer ,1,1,Mouse ,1,1,Possum ,1,1,Porcupine ,1,1,I don't know ,1,1,Fish ,1,1,I don't know ,1,1,I don't know ,1,1,Whale ,1,1,Fish ,"No, they were not helpful",1,28.607894897461,-81.30549621582,-1,
