"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","324G5B4FB4L04EIYPOBEQTR8ICI70W","A2BO8M77CS3SGZ","Submitted","Tue Jul 28 23:39:07 PDT 2015","Tue Jul 28 23:44:14 PDT 2015","Tue Aug 04 23:44:14 PDT 2015","","","","307","0% (0/0)","0% (0/0)","0% (0/0)","9a59815028b76795f1c8c2fbcbe329ad"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","34YB12FSQZ1G0L067W26U3BEKI2GMJ","A18FK1XR73EQ2W","Submitted","Tue Jul 28 23:27:25 PDT 2015","Tue Jul 28 23:29:40 PDT 2015","Tue Aug 04 23:29:40 PDT 2015","","","","135","0% (0/0)","0% (0/0)","0% (0/0)","8175a2933c24de11a84290178a70e7b8"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","35LDD5557BHL27WPXNNLSV37RZJMKS","A1S88VQY8G8CNC","Submitted","Tue Jul 28 23:39:31 PDT 2015","Tue Jul 28 23:42:41 PDT 2015","Tue Aug 04 23:42:41 PDT 2015","","","","190","0% (0/0)","0% (0/0)","0% (0/0)","bcb6c82af3fef35de1dff0523ddf0afc"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","37Q970SNZFLMU1N89ADPZP6EAI1S17","A3KOVCQYR8K3HY","Submitted","Wed Jul 29 00:02:11 PDT 2015","Wed Jul 29 00:05:36 PDT 2015","Wed Aug 05 00:05:36 PDT 2015","","","","205","0% (0/0)","0% (0/0)","0% (0/0)","41d36b6c0710347af7d444acfc3946ff"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","39LNWE0K4V9D9KBA6MTV6P5OCHXUIH","A1T8EFHGSEE3RD","Submitted","Tue Jul 28 23:50:42 PDT 2015","Tue Jul 28 23:55:08 PDT 2015","Tue Aug 04 23:55:08 PDT 2015","","","","266","0% (0/0)","0% (0/0)","0% (0/0)","99f18ece1e097843dea39e5f97474f3b"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3A4TN5196LVHRVJQEDQAC7I354BCHW","A1G9ZIBMV5PLE2","Submitted","Tue Jul 28 23:44:41 PDT 2015","Tue Jul 28 23:48:01 PDT 2015","Tue Aug 04 23:48:01 PDT 2015","","","","200","0% (0/0)","0% (0/0)","0% (0/0)","53ed282aedb87aa11d4b55022df0022f"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3AMW0RGHOEFSVGE5MG7T1RE6QZZPNW","AVPKE76DJLWK6","Submitted","Wed Jul 29 00:05:08 PDT 2015","Wed Jul 29 00:13:47 PDT 2015","Wed Aug 05 00:13:47 PDT 2015","","","","519","0% (0/0)","0% (0/0)","0% (0/0)","a79ac8a98e440f08145da27043f65b0f"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3BEFOD78W760O57MCV05LEEBUDTM42","A3HTLXAPOBCVVO","Submitted","Tue Jul 28 23:25:27 PDT 2015","Tue Jul 28 23:32:54 PDT 2015","Tue Aug 04 23:32:54 PDT 2015","","","","447","0% (0/0)","0% (0/0)","0% (0/0)","a9a79492be85fab3703855a0f0cc1022"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3COPXFW7XCPRNAT2P3FD9ZX2W4UKPM","AOAZMLP27GD81","Submitted","Wed Jul 29 00:01:37 PDT 2015","Wed Jul 29 00:09:03 PDT 2015","Wed Aug 05 00:09:03 PDT 2015","","","","446","0% (0/0)","0% (0/0)","0% (0/0)","4cf2c56912ba4531febd3e3c31442ef8"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3D3VGR7TA1S63P1AHPR3X8GFM0XR3B","A1DX8T0U3UTD0R","Submitted","Wed Jul 29 00:10:39 PDT 2015","Wed Jul 29 00:30:52 PDT 2015","Wed Aug 05 00:30:52 PDT 2015","","","","1213","0% (0/0)","0% (0/0)","0% (0/0)","9b83cee3667e201d36823cedf6d068b9"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3EFVCAY5L4MB6YO3L1DQMY2ZS5V8JS","A237FGJCPV99GJ","Submitted","Wed Jul 29 00:17:51 PDT 2015","Wed Jul 29 00:17:55 PDT 2015","Wed Aug 05 00:17:55 PDT 2015","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","8c420cec841bd7b6e1e9d9567482ca89"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3HRMW88U173JPHPLTUD39BOYD1DM0M","A28PS7TGEQCFT4","Submitted","Tue Jul 28 23:24:06 PDT 2015","Tue Jul 28 23:36:47 PDT 2015","Tue Aug 04 23:36:47 PDT 2015","","","","761","0% (0/0)","0% (0/0)","0% (0/0)","3d41399f951a6d812bd9f544e7274615"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3HWRJOOET6FLE2HKLY8469P8ZR5ESC","A1H162QMRV01SA","Submitted","Tue Jul 28 23:25:05 PDT 2015","Tue Jul 28 23:30:30 PDT 2015","Tue Aug 04 23:30:30 PDT 2015","","","","325","0% (0/0)","0% (0/0)","0% (0/0)","ec9f49029f9f37192f2cffca02489493"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3K9FOBBF2IW24VZ7UOEMKA5MLPZLNV","ADQ27JG7OMACZ","Submitted","Wed Jul 29 00:12:47 PDT 2015","Wed Jul 29 00:14:44 PDT 2015","Wed Aug 05 00:14:44 PDT 2015","","","","117","0% (0/0)","0% (0/0)","0% (0/0)","b6f36a258bdd79e9339ca429a90ac00d"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3LWJHTCVCDZ17023O535TRV7T4YQFG","A1VKHE5L6QVFUV","Submitted","Tue Jul 28 23:28:44 PDT 2015","Tue Jul 28 23:31:29 PDT 2015","Tue Aug 04 23:31:29 PDT 2015","","","","165","0% (0/0)","0% (0/0)","0% (0/0)","3d369102f9b7b3205e98438aa98b55fe"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3NPFYT4IZDHRUXZAL34F5KRCRMMGX3","A22KRF782ELLB0","Submitted","Tue Jul 28 23:37:49 PDT 2015","Tue Jul 28 23:43:15 PDT 2015","Tue Aug 04 23:43:15 PDT 2015","","","","326","0% (0/0)","0% (0/0)","0% (0/0)","0628f0dabc8e1f102bf5d65af2fabd95"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3Q8GYXHFEQF5B2ZVDBP1NAFD0VL5C9","ANBP9PU6EH8DB","Submitted","Tue Jul 28 23:52:52 PDT 2015","Tue Jul 28 23:55:30 PDT 2015","Tue Aug 04 23:55:30 PDT 2015","","","","158","0% (0/0)","0% (0/0)","0% (0/0)","b90ad21590fa620fb4f64e1a7ae1d5cd"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3SNVL38CI558TLKYKYT7PZYVXLGKC9","A3OZ8KF0HWSVWK","Submitted","Wed Jul 29 00:48:27 PDT 2015","Wed Jul 29 00:56:45 PDT 2015","Wed Aug 05 00:56:45 PDT 2015","","","","498","0% (0/0)","0% (0/0)","0% (0/0)","02c9cfe471b7a94c0241e16cc6bb5b06"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3TDXMTX3CC7S79L9A4VSQJR89VF6IR","A2K56J9POYUFCA","Submitted","Tue Jul 28 23:24:50 PDT 2015","Tue Jul 28 23:33:32 PDT 2015","Tue Aug 04 23:33:32 PDT 2015","","","","522","0% (0/0)","0% (0/0)","0% (0/0)","0cd7cfc189933e1808e8c4c67c918ff5"
"39O0SQZVJNKMHO43TZPRM5XC6YL7RY","34ZB3R61XVY8800KZUQQKXNGMM5HWI","Answer a survey about animal identification","A 5-10 minute survey in which you will be asked to identify 10 animals","survey, animal","$0.50","Tue Jul 28 23:23:27 PDT 2015","20","BatchId:2037403;","3600","604800","Fri Jul 31 23:23:27 PDT 2015","","","3XUHV3NRVLBWSAABZ332Y1CTDNPH5T","A2AVFNOKFHQ2ME","Submitted","Tue Jul 28 23:43:41 PDT 2015","Tue Jul 28 23:48:30 PDT 2015","Tue Aug 04 23:48:30 PDT 2015","","","","289","0% (0/0)","0% (0/0)","0% (0/0)","d6ef6d4340402f65c8a32377a6e187e9"